% Model:              nanorod_3d_placa.mph
% Version:            COMSOL 5.2.0.166
% Date:               Oct 3 2019, 14:35
% Dimension:          3
% Nodes:              484
% Expressions:        3
% Description:        Arrow volume
% X                       Y                        Z                        VectorX                  VectorY                  VectorZ
-7.999999999999999E-5     -1.600008889186661E-4    3.2874526902273905E-5    0                        -6.858544167703205E-6    -2.4862926819512195E-6
0                         -1.600008889186661E-4    3.2874526902273905E-5    0                        -5.8352291571087525E-6   -2.8449505288301677E-6
8.00000000000001E-5       -1.600008889186661E-4    3.2874526902273905E-5    0                        -5.858477182653962E-6    -3.557537895163238E-6
-1.600000000000001E-4     -8.000044445933305E-5    3.2874526902273905E-5    0                        -4.5740124663900036E-7   -1.1441758668309128E-6
-7.999999999999999E-5     -8.000044445933305E-5    3.2874526902273905E-5    0                        9.327686228777701E-7     -1.043161427783349E-6
0                         -8.000044445933305E-5    3.2874526902273905E-5    0                        1.0774008168459348E-6    -8.036103829181212E-7
8.00000000000001E-5       -8.000044445933305E-5    3.2874526902273905E-5    0                        1.0909536530000865E-6    -8.179329412867808E-7
1.600000000000001E-4      -8.000044445933305E-5    3.2874526902273905E-5    0                        5.412190407284723E-7     -9.303289786406163E-7
-1.600000000000001E-4     0                        3.2874526902273905E-5    0                        1.912440930546755E-6     1.3830329680991028E-7
-7.999999999999999E-5     0                        3.2874526902273905E-5    0                        2.2877843080450513E-6    1.0078045234878268E-7
0                         0                        3.2874526902273905E-5    0                        2.3959517928985694E-6    1.3898494602494564E-7
8.00000000000001E-5       0                        3.2874526902273905E-5    0                        2.261349310542431E-6     2.3529954894692283E-7
1.600000000000001E-4      0                        3.2874526902273905E-5    0                        1.966539989749808E-6     1.3911489894860722E-7
-1.600000000000001E-4     8.000044445933315E-5     3.2874526902273905E-5    0                        -7.522708161931026E-7    1.1611783781665177E-6
-7.999999999999999E-5     8.000044445933315E-5     3.2874526902273905E-5    0                        -2.4896284850722263E-8   1.0636538111249282E-6
0                         8.000044445933315E-5     3.2874526902273905E-5    0                        1.581742386783067E-7     1.03918650112984E-6
8.00000000000001E-5       8.000044445933315E-5     3.2874526902273905E-5    0                        -1.487631287424978E-7    1.1941969883458993E-6
1.600000000000001E-4      8.000044445933315E-5     3.2874526902273905E-5    0                        -1.3974914544900883E-6   1.3360598311797962E-6
-7.999999999999999E-5     1.600008889186662E-4     3.2874526902273905E-5    0                        -6.418024752301972E-6    3.0699175405217614E-6
0                         1.600008889186662E-4     3.2874526902273905E-5    0                        -5.8538673538197335E-6   2.185310760974303E-6
8.00000000000001E-5       1.600008889186662E-4     3.2874526902273905E-5    0                        -6.917235660856382E-6    2.096940007962432E-6
-7.999999999999999E-5     -1.600008889186661E-4    9.862358070682171E-5     0                        -1.2690011141186114E-5   -1.4057168098521335E-5
0                         -1.600008889186661E-4    9.862358070682171E-5     0                        -1.2576357060034429E-5   -1.4103660832000365E-5
8.00000000000001E-5       -1.600008889186661E-4    9.862358070682171E-5     0                        -1.2654605555389559E-5   -1.4595614033927621E-5
-1.600000000000001E-4     -8.000044445933305E-5    9.862358070682171E-5     0                        -2.2263579071223296E-6   -6.066128876528412E-6
-7.999999999999999E-5     -8.000044445933305E-5    9.862358070682171E-5     0                        -1.4471353858201706E-6   -5.653576273056296E-6
0                         -8.000044445933305E-5    9.862358070682171E-5     0                        -8.334973367428712E-7    -5.245014008552794E-6
8.00000000000001E-5       -8.000044445933305E-5    9.862358070682171E-5     0                        -1.4712258697991111E-6   -5.093151755342206E-6
1.600000000000001E-4      -8.000044445933305E-5    9.862358070682171E-5     0                        -2.184260093858373E-6    -5.611553838310043E-6
-1.600000000000001E-4     0                        9.862358070682171E-5     0                        -1.5286787784224493E-7   9.199855076158904E-7
-7.999999999999999E-5     0                        9.862358070682171E-5     0                        9.266701535707239E-7     1.0712435024989535E-6
0                         0                        9.862358070682171E-5     0                        1.1398823025060269E-6    1.10709676018677E-6
8.00000000000001E-5       0                        9.862358070682171E-5     0                        7.479494391716208E-7     1.0747016320079249E-6
1.600000000000001E-4      0                        9.862358070682171E-5     0                        -8.88201303058996E-8     1.1344318233591846E-6
-1.600000000000001E-4     8.000044445933315E-5     9.862358070682171E-5     0                        -4.96054120772057E-6     7.049469030770346E-6
-7.999999999999999E-5     8.000044445933315E-5     9.862358070682171E-5     0                        -4.205850330337459E-6    6.8268473406979185E-6
0                         8.000044445933315E-5     9.862358070682171E-5     0                        -3.891476961356643E-6    6.627710062163261E-6
8.00000000000001E-5       8.000044445933315E-5     9.862358070682171E-5     0                        -4.1892900670945775E-6   7.0179336438345014E-6
1.600000000000001E-4      8.000044445933315E-5     9.862358070682171E-5     0                        -4.850604581490335E-6    7.600255358114962E-6
-7.999999999999999E-5     1.600008889186662E-4     9.862358070682171E-5     0                        -1.4601602231509268E-5   1.3368669649755301E-5
0                         1.600008889186662E-4     9.862358070682171E-5     0                        -1.484446740836121E-5    1.3787342060548635E-5
8.00000000000001E-5       1.600008889186662E-4     9.862358070682171E-5     0                        -1.4533900099478519E-5   1.3770578673472491E-5
-7.999999999999999E-5     -1.600008889186661E-4    1.6437263451136953E-4    0                        -1.953627610686755E-5    -2.6160421914797916E-5
0                         -1.600008889186661E-4    1.6437263451136953E-4    0                        -1.9399590066134885E-5   -2.5986697585912054E-5
8.00000000000001E-5       -1.600008889186661E-4    1.6437263451136953E-4    0                        -1.9631965560124144E-5   -2.6440345589920428E-5
-1.600000000000001E-4     -8.000044445933305E-5    1.6437263451136953E-4    0                        -9.75449014746377E-6     -1.1575291857555161E-5
-7.999999999999999E-5     -8.000044445933305E-5    1.6437263451136953E-4    0                        -9.404387556704314E-6    -1.128879749140964E-5
0                         -8.000044445933305E-5    1.6437263451136953E-4    0                        -9.356430001098828E-6    -1.1029448655690457E-5
